day_of_week,hour,count
1,0,182
1,1,166
1,2,140
1,3,121
1,4,87
1,5,115
1,6,231
1,7,216
1,8,225
1,9,245
1,10,247
1,11,209
1,12,190
1,13,173
1,14,179
1,15,205
1,16,242
1,17,231
1,18,185
1,19,214
1,20,228
1,21,176
1,22,118
1,23,112
2,0,78
2,1,65
2,2,50
2,3,37
2,4,39
2,5,66
2,6,147
2,7,157
2,8,211
2,9,204
2,10,213
2,11,185
2,12,142
2,13,158
2,14,175
2,15,171
2,16,214
2,17,197
2,18,187
2,19,216
2,20,227
2,21,161
2,22,122
2,23,107
3,0,92
3,1,49
3,2,43
3,3,27
3,4,40
3,5,67
3,6,143
3,7,153
3,8,186
3,9,178
3,10,189
3,11,199
3,12,146
3,13,141
3,14,166
3,15,179
3,16,179
3,17,213
3,18,191
3,19,210
3,20,242
3,21,155
3,22,134
3,23,111
4,0,86
4,1,64
4,2,55
4,3,46
4,4,44
4,5,79
4,6,172
4,7,170
4,8,199
4,9,168
4,10,200
4,11,185
4,12,146
4,13,140
4,14,143
4,15,185
4,16,204
4,17,201
4,18,194
4,19,210
4,20,223
4,21,160
4,22,115
4,23,109
5,0,87
5,1,50
5,2,39
5,3,39
5,4,47
5,5,94
5,6,157
5,7,170
5,8,200
5,9,174
5,10,261
5,11,176
5,12,186
5,13,136
5,14,173
5,15,197
5,16,205
5,17,202
5,18,200
5,19,244
5,20,230
5,21,198
5,22,123
5,23,133
6,0,107
6,1,81
6,2,68
6,3,60
6,4,53
6,5,67
6,6,147
6,7,155
6,8,216
6,9,195
6,10,223
6,11,199
6,12,165
6,13,144
6,14,211
6,15,199
6,16,239
6,17,226
6,18,219
6,19,272
6,20,267
6,21,245
6,22,239
6,23,192
7,0,212
7,1,229
7,2,197
7,3,165
7,4,162
7,5,167
7,6,202
7,7,251
7,8,242
7,9,242
7,10,265
7,11,208
7,12,231
7,13,197
7,14,215
7,15,239
7,16,249
7,17,250
7,18,254
7,19,314
7,20,342
7,21,257
7,22,196
7,23,230
