day_of_week,hour,count
1,0,667
1,1,612
1,2,480
1,3,392
1,4,292
1,5,266
1,6,288
1,7,245
1,8,250
1,9,270
1,10,300
1,11,354
1,12,392
1,13,407
1,14,363
1,15,316
1,16,362
1,17,439
1,18,509
1,19,787
1,20,938
1,21,832
1,22,570
1,23,401
2,0,353
2,1,232
2,2,209
2,3,171
2,4,174
2,5,210
2,6,250
2,7,198
2,8,254
2,9,216
2,10,381
2,11,365
2,12,375
2,13,353
2,14,356
2,15,350
2,16,362
2,17,408
2,18,511
2,19,856
2,20,1006
2,21,891
2,22,533
2,23,379
3,0,329
3,1,271
3,2,181
3,3,165
3,4,139
3,5,181
3,6,248
3,7,219
3,8,251
3,9,263
3,10,301
3,11,354
3,12,408
3,13,357
3,14,340
3,15,373
3,16,422
3,17,426
3,18,560
3,19,770
3,20,945
3,21,848
3,22,584
3,23,422
4,0,305
4,1,257
4,2,183
4,3,164
4,4,173
4,5,210
4,6,259
4,7,236
4,8,235
4,9,288
4,10,308
4,11,357
4,12,407
4,13,399
4,14,329
4,15,385
4,16,425
4,17,400
4,18,571
4,19,795
4,20,1020
4,21,870
4,22,567
4,23,395
5,0,353
5,1,310
5,2,205
5,3,206
5,4,166
5,5,250
5,6,277
5,7,233
5,8,223
5,9,239
5,10,317
5,11,377
5,12,423
5,13,378
5,14,382
5,15,390
5,16,415
5,17,394
5,18,539
5,19,838
5,20,1037
5,21,976
5,22,673
5,23,490
6,0,529
6,1,460
6,2,370
6,3,345
6,4,297
6,5,336
6,6,288
6,7,240
6,8,257
6,9,214
6,10,291
6,11,405
6,12,441
6,13,421
6,14,417
6,15,417
6,16,438
6,17,471
6,18,607
6,19,874
6,20,1112
6,21,1238
6,22,1055
6,23,924
7,0,1043
7,1,1168
7,2,1233
7,3,1138
7,4,977
7,5,778
7,6,585
7,7,413
7,8,386
7,9,371
7,10,421
7,11,394
7,12,576
7,13,427
7,14,440
7,15,431
7,16,476
7,17,548
7,18,635
7,19,873
7,20,1040
7,21,1094
7,22,802
7,23,638
